name,salary_from,salary_to,salary_currency,area_name,published_at
Токарь-универсал 4 - 6 разряд,45000,70000,RUR,Краснотурьинск,2022-12-27T07:25:05+0300
Токарь,29000,65000,RUR,Ижевск,2022-12-27T07:35:33+0300
Программист 1С,110000,,RUR,Иркутск,2022-12-27T07:24:45+0300
Инженер-наладчик,38000,40000,RUR,Челябинск,2022-12-27T07:10:15+0300
"Мастер сервисного центра (сборка, ремонт спорт инвентаря)",15000,,RUR,Барнаул,2022-12-27T07:05:06+0300
Рабочий по комплексному обслуживанию зданий,15000,16000,RUR,Омск,2022-12-27T07:08:03+0300
Фрезеровщик 4-6 разряд,50000,,RUR,Краснотурьинск,2022-12-27T07:25:00+0300
Инженер-наладчик АСУ ТП,60000,60000,RUR,Казань,2022-12-27T07:32:19+0300
Фрезеровщик 5-6 разряда,40000,45000,RUR,Томск,2022-12-27T07:55:16+0300
Фрезеровщик 6 разряда,38000,45000,RUR,Томск,2022-12-27T07:55:18+0300
Главный механик по напольной технике,39900,39900,RUR,Оренбург,2022-12-27T07:58:48+0300
Специалист по навигационным системам,45000,60000,RUR,Уфа,2022-12-27T07:56:20+0300
Программист 1С,110000,,RUR,Хабаровск,2022-12-27T07:24:45+0300
Монтажник домофонных систем,115000,160000,KZT,Караганда,2022-12-27T07:50:31+0300
Программист 1С,110000,,RUR,Красноярск,2022-12-27T07:24:45+0300
Программист 1С,110000,,RUR,Новосибирск,2022-12-27T07:24:45+0300
